ObjectClass,variable,AgentId,value
ConventionalPlantOperator,AwardedPowerInMWH,501,45783.076716872354
ConventionalPlantOperator,AwardedPowerInMWH,502,7099.882568369006
ConventionalPlantOperator,AwardedPowerInMWH,503,0.0
ConventionalPlantOperator,AwardedPowerInMWH,504,0.0
ConventionalPlantOperator,AwardedPowerInMWH,505,0.0
ConventionalPlantOperator,CostsInEUR,501,1519889.2989074644
ConventionalPlantOperator,CostsInEUR,502,280838.3392853713
ConventionalPlantOperator,CostsInEUR,503,0.0
ConventionalPlantOperator,CostsInEUR,504,0.0
ConventionalPlantOperator,CostsInEUR,505,0.0
ConventionalPlantOperator,OfferedPowerInMW,501,2266387.2
ConventionalPlantOperator,OfferedPowerInMW,502,27700872.0
ConventionalPlantOperator,OfferedPowerInMW,503,0.0
ConventionalPlantOperator,OfferedPowerInMW,504,10264617.6
ConventionalPlantOperator,OfferedPowerInMW,505,1450130.4000000001
ConventionalPlantOperator,ReceivedMoneyInEUR,501,1566683.7223408695
ConventionalPlantOperator,ReceivedMoneyInEUR,502,253858.7855255691
ConventionalPlantOperator,ReceivedMoneyInEUR,503,0.0
ConventionalPlantOperator,ReceivedMoneyInEUR,504,0.0
ConventionalPlantOperator,ReceivedMoneyInEUR,505,0.0
ConventionalTrader,AwardedPower,1001,45783.076716872354
ConventionalTrader,AwardedPower,1002,7099.882568369006
ConventionalTrader,AwardedPower,1003,0.0
ConventionalTrader,AwardedPower,1004,0.0
ConventionalTrader,AwardedPower,1005,0.0
ConventionalTrader,OfferedPowerInMW,1001,2266387.2
ConventionalTrader,OfferedPowerInMW,1002,27700872.0
ConventionalTrader,OfferedPowerInMW,1003,0.0
ConventionalTrader,OfferedPowerInMW,1004,10264617.6
ConventionalTrader,OfferedPowerInMW,1005,1450130.4000000001
DemandTrader,AwardedEnergyInMWH,100,56171750.5
DemandTrader,RequestedEnergyInMWH,100,56171750.5
EnergyExchange,DispatchSystemCostInEUR,1,1956239.963420497
EnergyExchange,ElectricityPriceInEURperMWH,1,7418.135649999998
EnergyExchange,TotalAwardedPowerInMW,1,57028626.05555555
MeritOrderForecaster,AwardedPowerForecast,6,56165139.5
MeritOrderForecaster,ElectricityPriceForecast,6,32963.81973832021
NoSupportTrader,AwardedEnergyInMWH,12,46963929.49635623
NoSupportTrader,EnergyImbalaceInMWH,12,5.752553988713771e-11
NoSupportTrader,OfferedEnergyInMWH,12,65276092.29996755
NoSupportTrader,ReceivedMarketRevenues,12,63600918.52246495
StorageTrader,AwardedChargePower,7,856875.5555555555
StorageTrader,AwardedDischargePower,7,-707594.4
StorageTrader,AwardedPower,7,149281.1555555555
StorageTrader,Costs,7,1823033.805333333
StorageTrader,OfferedChargePrice,7,
StorageTrader,OfferedDischargePrice,7,
StorageTrader,OfferedPowerInMW,7,-149281.1555555555
StorageTrader,Profit,7,-5322754.570113334
StorageTrader,Revenues,7,-3499720.764780001
StorageTrader,StoredMWh,7,22455840.0
SystemOperatorTrader,AwardedEnergyInMWH,13,9304219.19991409
SystemOperatorTrader,EnergyImbalaceInMWH,13,1.1166534363837856e-10
SystemOperatorTrader,OfferedEnergyInMWH,13,9304666.999917556
SystemOperatorTrader,ReceivedMarketRevenues,13,8185658.544915265
SystemOperatorTrader,ReceivedSupportInEUR,13,749480105.0326911
SystemOperatorTrader,RefundedSupportInEUR,13,0.0
VariableRenewableOperator,AwardedPowerInMWH,10,1338332.000073971
VariableRenewableOperator,AwardedPowerInMWH,20,7965887.19984012
VariableRenewableOperator,AwardedPowerInMWH,49,26701129.805707324
VariableRenewableOperator,AwardedPowerInMWH,50,10771123.628934333
VariableRenewableOperator,AwardedPowerInMWH,51,7153196.405753305
VariableRenewableOperator,AwardedPowerInMWH,52,2180109.0
VariableRenewableOperator,AwardedPowerInMWH,53,46188.593926561574
VariableRenewableOperator,AwardedPowerInMWH,55,112182.06203470001
VariableRenewableOperator,CostsInEUR,10,0.0
VariableRenewableOperator,CostsInEUR,20,0.0
VariableRenewableOperator,CostsInEUR,49,0.0
VariableRenewableOperator,CostsInEUR,50,0.0
VariableRenewableOperator,CostsInEUR,51,0.0
VariableRenewableOperator,CostsInEUR,52,0.0
VariableRenewableOperator,CostsInEUR,53,55426.312711873885
VariableRenewableOperator,CostsInEUR,55,0.0
VariableRenewableOperator,OfferedPowerInMW,10,1338332.000073971
VariableRenewableOperator,OfferedPowerInMW,20,8292926.999911625
VariableRenewableOperator,OfferedPowerInMW,49,27502399.230208002
VariableRenewableOperator,OfferedPowerInMW,50,27495523.63040045
VariableRenewableOperator,OfferedPowerInMW,51,7674378.475
VariableRenewableOperator,OfferedPowerInMW,52,2218083.0
VariableRenewableOperator,OfferedPowerInMW,53,1089216.0
VariableRenewableOperator,OfferedPowerInMW,55,112182.06203470001
VariableRenewableOperator,ReceivedMoneyInEUR,10,102650064.4056736
VariableRenewableOperator,ReceivedMoneyInEUR,20,646830040.6270175
VariableRenewableOperator,ReceivedMoneyInEUR,49,23094571.26657301
VariableRenewableOperator,ReceivedMoneyInEUR,50,23088797.623756353
VariableRenewableOperator,ReceivedMoneyInEUR,51,13146065.008911662
VariableRenewableOperator,ReceivedMoneyInEUR,52,3034079.2100666687
VariableRenewableOperator,ReceivedMoneyInEUR,53,1194434.862011871
VariableRenewableOperator,ReceivedMoneyInEUR,55,42970.55114539463
