AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;ReceivedMoneyInEUR;CostsInEUR
504;662255998;28808.999999999898;;;
504;662256002;;6930.9999999999745;1853849.1622028542;1987745.3042480608
504;662259598;28808.999999999898;;;
504;662259602;;5365.9999999999845;1410757.2094133603;1366681.5394034632
504;662263198;28808.999999999898;;;
504;662263202;;4562.999999999986;1190085.0312156193;1157334.5196366168
504;662266798;28808.999999999898;;;
504;662266802;;3335.9999999999836;858948.8869135872;840803.6121522338
504;662270398;28808.999999999898;;;
504;662270402;;2941.999999999982;754535.3526151881;740010.541443945
504;662273998;28808.999999999898;;;
504;662274002;;2826.9999999999823;724332.0414414466;710667.9899192376
504;662277598;28808.999999999898;;;
504;662277602;;2784.9999999999823;713570.8296478348;699957.1781256257
504;662281198;28808.999999999898;;;
504;662281202;;4221.999999999975;1096779.1131705774;1109192.582159279
504;662284798;28808.999999999898;;;
504;662284802;;4335.999999999975;1128632.730371118;1101790.11108101
504;662288398;28808.999999999898;;;
504;662288402;;3484.9999999999936;899080.9122546695;879027.6284795287
504;662291998;28808.999999999898;;;
504;662292002;;2637.9999999999995;674586.8414582401;662518.8159221436
504;662295598;28808.999999999898;;;
504;662295602;;2531.9999999999945;646849.126114657;635554.9635141824
504;662299198;28808.999999999898;;;
504;662299202;;3201.9999999999804;823637.069626712;824753.9041657874
504;662302798;28808.999999999898;;;
504;662302802;;2935.999999999982;752996.531365803;738478.9201945598
504;662306398;28808.999999999898;;;
504;662306402;;4056.9999999999764;1052871.5360544291;1058715.0617637923
504;662309998;28808.999999999898;;;
504;662310002;;5177.999999999966;1358602.788726732;1348971.3209138988
504;662313598;28808.999999999898;;;
504;662313602;;6239.999999999956;1655496.8753180744;1628187.857080603
504;662317198;28808.999999999898;;;
504;662317202;;6378.9999999999545;1695810.578854334;1637426.3491411412
504;662320798;28808.999999999898;;;
504;662320802;;6040.999999999958;1599460.2399526068;1544030.320878296
504;662324398;28808.999999999898;;;
504;662324402;;5404.999999999985;1422438.6611139295;1376895.3180668203
504;662327998;28808.999999999898;;;
504;662328002;;4262.000000000004;1108269.506566931;1079312.1289827686
504;662331598;28808.999999999898;;;
504;662331602;;751.0000000000081;188367.39256053057;186823.59254276825
504;662335198;28808.999999999898;;;
504;662335202;;0.0;0.0;0.0
504;662338798;28808.999999999898;;;
504;662338802;;0.0;0.0;0.0
